SubcID,IsRoad,Area,Width,Mode,DisPointID,Partition
264,0,13.3,3.7,0,48,7
265,0,15.1,3.9,0,402,16
266,0,4.3,2.1,0,62,7
267,0,2.9,1.7,0,78,7
268,0,3.7,1.9,0,422,7
269,0,3.3,1.8,0,422,7
270,0,5.5,2.3,0,81,7
271,0,2.8,1.7,0,81,7
272,0,2.4,1.5,0,80,7
273,0,3.3,1.8,0,80,7
274,0,3.1,1.8,0,79,7
275,0,4.5,2.1,0,82,7
276,0,3.7,1.9,0,83,7
277,0,17.7,4.2,0,423,7
278,0,2.2,1.5,0,425,7
279,0,4.0,2.0,0,84,7
280,0,4.8,2.2,0,89,15
281,0,15.3,3.9,0,90,15
282,0,20.0,4.5,0,92,15
283,0,2.5,1.6,0,93,15
284,0,4.8,2.2,0,335,15
285,0,6.5,2.6,0,91,15
286,0,3.2,1.8,0,96,8
287,0,15.3,3.9,0,96,8
288,0,3.8,2.0,0,96,8
289,0,2.7,1.6,0,94,8
290,0,2.5,1.6,0,95,8
291,0,1.6,1.3,0,97,8
292,0,1.2,1.1,0,97,8
293,0,1.5,1.2,0,101,8
294,0,3.3,1.8,0,487,8
295,0,3.6,1.9,0,370,8
296,0,4.1,2.0,0,435,5
297,0,4.1,2.0,0,435,5
298,0,4.9,2.2,0,86,5
299,0,3.8,1.9,0,77,5
300,0,2.8,1.7,0,62,7
301,0,4.6,2.1,0,78,7
302,0,27.3,5.2,0,412,11
303,0,45.9,6.8,0,393,20
304,0,10.4,3.2,0,82,7
305,0,3.3,1.8,0,82,7
306,0,6.5,2.5,0,89,15
307,0,10.1,3.2,0,89,15
308,0,26.8,5.2,0,429,8
309,0,2.7,1.6,0,86,5
310,0,6.8,2.6,0,167,20
311,0,8.5,2.9,0,29,20
312,0,1.4,1.2,0,82,7
313,0,1.9,1.4,0,451,7
314,0,3.8,1.9,0,83,7
315,0,2.1,1.4,0,425,7
316,0,2.3,1.5,0,426,7
317,0,4.2,2.0,0,84,7
318,0,2.1,1.4,0,453,7
319,0,1.6,1.3,0,89,15
