RoadID,UpNode,DownNode,QReuse(m3/d),Diameter(m)
89,69,70,3350.15,0.2
256,162,164,79.47,0.1
193,402,133,301.52,0.1
200,132,134,344.73,0.1
205,25,137,9.95,0.1
331,171,58,567.13,0.1
90,68,69,3045.54,0.2
736,470,282,27.74,0.1
379,217,143,3472.74,0.2
410,232,231,59.32,0.1
55,41,42,343.94,0.1
407,46,68,2939.29,0.2
324,57,170,458.09,0.1
762,475,156,56.56,0.1
413,216,69,219.79,0.1
336,161,166,57.28,0.1
220,150,143,640.3,0.1
326,134,57,405.88,0.1
728,361,360,230.56,0.1
219,143,65,4122.64,0.3
427,234,146,327.74,0.1
260,166,138,243.36,0.1
214,54,142,993.61,0.2
729,357,360,184.01,0.1
494,468,282,89.74,0.1
767,350,344,107.59,0.1
758,476,475,56.56,0.1
221,146,150,454.94,0.1
281,170,171,540.93,0.1
255,55,132,297.46,0.1
338,59,136,2428.91,0.2
191,128,64,88.45,0.1
435,70,217,3350.15,0.2
722,194,357,85.3,0.1
709,352,350,48.22,0.1
204,137,138,58.89,0.1
207,138,139,377.34,0.1
186,127,52,287.94,0.1
87,387,64,65,0.1
428,231,234,261.94,0.1
737,360,342,514.72,0.1
738,282,348,457.39,0.1
86,65,64,4122.64,0.3
72,58,59,730.76,0.1
197,136,135,2488.46,0.2
497,286,282,312.35,0.1
502,278,433,1630.04,0.2
700,346,344,31.24,0.1
740,195,360,57.37,0.1
291,133,41,343.94,0.1
282,169,163,156.63,0.1
765,344,361,163.69,0.1
757,477,476,56.56,0.1
81,63,388,2821.23,0.2
141,115,114,593.03,0.1
405,61,229,477.36,0.1
490,129,427,15.21,0.1
489,427,227,15.21,0.1
139,396,397,549.99,0.1
138,51,396,53.38,0.1
640,329,262,83,0.1
800,303,371,254.23,0.1
390,420,222,777.77,0.1
49,39,40,121.54,0.1
67,60,384,387.49,0.1
65,33,60,254.84,0.1
216,40,131,191.83,0.1
47,45,33,148.55,0.1
60,385,61,200.5,0.1
224,147,144,632.56,0.1
474,262,460,119.1,0.1
392,227,419,734.09,0.1
391,419,420,734.09,0.1
406,229,115,573.45,0.1
212,140,141,94.28,0.1
279,142,139,1084.62,0.2
376,214,113,607.54,0.1
83,67,63,242.69,0.1
334,135,43,2488.46,0.2
140,114,63,1409.16,0.2
389,222,114,816.13,0.1
195,131,130,273.81,0.1
395,144,418,718.88,0.1
258,141,126,211.31,0.1
225,148,461,238.7,0.1
187,126,127,251.12,0.1
802,373,305,913.04,0.1
458,258,147,46.41,0.1
473,460,148,147.79,0.1
337,409,59,1619.64,0.2
799,486,373,251.76,0.1
226,461,147,475.5,0.1
550,304,303,99.52,0.1
369,414,60,132.65,0.1
85,47,67,166.2,0.1
68,52,54,453.79,0.1
71,53,54,413.61,0.1
682,339,329,18.83,0.1
208,130,53,299.51,0.1
51,44,40,70.29,0.1
374,415,214,384.88,0.1
393,418,227,718.88,0.1
52,43,46,2488.46,0.2
142,113,63,780.98,0.1
798,372,373,557.84,0.1
797,371,372,444.11,0.1
