PipeID,UpNode,DownNode,UpBottomElev,DownBottomElev,Shape,Height,Width,HydrolicRadius,Length,Slope,DesignFlow,CapitalCost(CNY),HasPump
549,436,208,3.05,8.24,CIRC,0.70,0.70,0.17,764.18,-0.01,150,3313831,1
346,497,442,5.74,4.85,CIRC,0.70,0.70,0.17,639.49,0.00,138,146328,0
347,442,436,4.85,3.05,CIRC,0.70,0.70,0.17,1319.87,0.00,141,491040,0
349,472,200,9.30,6.83,CIRC,0.20,0.20,0.05,645.69,0.00,13,52254,0
123,94,85,4.46,10.50,CIRC,0.60,0.60,0.15,333.25,-0.02,97,2347413,1
124,97,95,5.74,5.02,CIRC,0.60,0.60,0.15,396.14,0.00,93,141230,0
128,101,97,6.39,5.89,CIRC,0.45,0.45,0.11,384.52,0.00,53,59109,0
125,95,94,5.02,4.46,CIRC,0.60,0.60,0.15,315.85,0.00,95,142814,0
812,365,368,9.38,7.78,CIRC,0.30,0.30,0.07,395.11,0.00,17,38719,0
770,368,97,7.78,6.92,CIRC,0.30,0.30,0.07,392.49,0.00,25,47606,0
512,466,85,7.20,10.90,CIRC,0.20,0.20,0.05,1135.21,-0.00,15,668561,1
810,367,293,8.31,7.45,CIRC,0.45,0.45,0.11,665.80,0.00,55,106401,0
752,196,367,9.15,8.41,CIRC,0.35,0.35,0.09,367.87,0.00,35,18856,0
511,293,85,7.40,10.60,CIRC,0.50,0.50,0.12,393.57,0.00,62,1732882,1
772,285,369,9.30,7.94,CIRC,0.20,0.20,0.05,354.52,0.00,8,18583,0
831,366,369,10.90,9.30,CIRC,0.20,0.20,0.05,397.28,0.00,5,7537,0
771,369,97,7.84,6.88,CIRC,0.30,0.30,0.07,430.28,0.00,19,51933,0
122,85,96,10.30,8.70,CIRC,0.80,0.80,0.20,662.86,0.00,157,137257,0
741,195,365,10.90,9.48,CIRC,0.20,0.20,0.05,369.87,0.00,5,19936,0
612,319,445,8.73,6.70,CIRC,0.70,0.70,0.17,603.92,0.00,117,119124,0
609,312,319,10.60,9.90,CIRC,0.50,0.50,0.12,463.88,0.00,70,40791,0
574,440,312,3.26,10.60,CIRC,0.50,0.50,0.12,602.05,-0.01,65,1826143,1
606,318,307,9.90,8.31,CIRC,0.30,0.30,0.07,714.32,0.00,19,32306,0
563,307,202,8.16,7.38,CIRC,0.45,0.45,0.11,599.11,0.00,52,82874,0
343,202,440,4.42,3.26,CIRC,0.50,0.50,0.12,727.58,-0.00,65,236615,0
341,203,204,10.00,7.48,CIRC,0.20,0.20,0.05,657.54,0.00,7,53988,0
